date,上证指数_close,深证成指_close,创业板指_close,沪深300_close,科创50_close,上证指数_pct,深证成指_pct,创业板指_pct,沪深300_pct,科创50_pct,amount_yi,up,down,flat,limit_up,limit_down
2024-07-11,2970.39,8870.36,1685.12,3468.17,718.04,1.06,1.99,2.06,1.14,1.08,7870.2,,,,,
2024-07-12,2971.30,8854.08,1683.63,3472.40,718.37,0.03,-0.18,-0.09,0.12,0.05,6870.0,,,,,
2024-07-15,2974.01,8801.62,1673.01,3476.25,715.86,0.09,-0.59,-0.63,0.11,-0.35,6021.8,,,,,
2024-07-16,2976.30,8877.02,1696.34,3498.28,732.06,0.08,0.86,1.39,0.63,2.26,6407.1,,,,,
2024-07-17,2962.85,8835.14,1696.45,3501.58,729.00,-0.45,-0.47,0.01,0.09,-0.42,6751.0,,,,,
2024-07-18,2977.13,8879.33,1717.71,3520.93,735.41,0.48,0.50,1.25,0.55,0.88,6722.5,,,,,
2024-07-19,2982.31,8903.23,1725.49,3539.02,749.47,0.17,0.27,0.45,0.51,1.91,6698.5,,,,,
2024-07-22,2964.22,8869.82,1723.91,3514.92,752.00,-0.61,-0.38,-0.09,-0.68,0.34,6565.2,,,,,
2024-07-23,2915.37,8606.58,1671.44,3439.88,721.11,-1.65,-2.97,-3.04,-2.13,-4.11,6621.9,,,,,
2024-07-24,2901.95,8493.10,1650.91,3418.17,713.32,-0.46,-1.32,-1.23,-0.63,-1.08,6272.1,,,,,
2024-07-25,2886.74,8474.70,1644.45,3399.27,713.88,-0.52,-0.22,-0.39,-0.55,0.08,5886.3,,,,,
2024-07-26,2890.90,8597.17,1659.53,3409.29,719.87,0.14,1.45,0.92,0.29,0.84,6061.1,,,,,
2024-07-29,2891.85,8514.65,1635.67,3390.74,707.60,0.03,-0.96,-1.44,-0.54,-1.70,5859.4,,,,,
2024-07-30,2879.30,8468.58,1630.95,3369.38,710.01,-0.43,-0.54,-0.29,-0.63,0.34,5994.8,,,,,
2024-07-31,2938.75,8754.09,1688.14,3442.08,743.37,2.06,3.37,3.51,2.16,4.70,9033.0,,,,,
2024-08-01,2932.39,8673.58,1665.97,3419.27,738.87,-0.22,-0.92,-1.31,-0.66,-0.61,7822.5,,,,,
2024-08-02,2905.34,8553.55,1638.30,3384.39,725.66,-0.92,-1.38,-1.66,-1.02,-1.79,7223.6,,,,,
2024-08-05,2860.70,8395.05,1607.29,3343.32,704.30,-1.54,-1.85,-1.89,-1.21,-2.94,7904.8,,,,,
2024-08-06,2867.28,8463.86,1627.36,3342.98,713.86,0.23,0.82,1.25,-0.01,1.36,6541.9,,,,,
2024-08-07,2869.83,8449.58,1620.33,3341.49,707.59,0.09,-0.17,-0.43,-0.04,-0.88,5920.3,,,,,
2024-08-08,2869.90,8446.21,1611.51,3342.94,708.92,0.00,-0.04,-0.54,0.04,0.19,6198.8,,,,,
2024-08-09,2862.19,8393.70,1595.64,3331.63,705.55,-0.27,-0.62,-0.98,-0.34,-0.48,5630.8,,,,,
2024-08-12,2858.20,8373.47,1592.39,3325.86,707.33,-0.14,-0.24,-0.20,-0.17,0.25,4958.8,,,,,
2024-08-13,2867.95,8409.22,1607.19,3334.39,710.75,0.34,0.43,0.93,0.26,0.48,4773.2,,,,,
2024-08-14,2850.65,8311.00,1584.33,3309.24,700.93,-0.60,-1.17,-1.42,-0.75,-1.38,4774.5,,,,,
2024-08-15,2877.36,8370.12,1592.71,3341.95,707.55,0.94,0.71,0.53,0.99,0.94,5915.2,,,,,
2024-08-16,2879.43,8349.87,1591.46,3345.63,705.22,0.07,-0.24,-0.08,0.11,-0.33,5911.6,,,,,
